,Step_0 Pred,Step_1 Pred,Step_2 Pred,Step_3 Pred,Step_4 Pred,Step_5 Pred,Step_0 True,Step_1 True,Step_2 True,Step_3 True,Step_4 True,Step_5 True
0,1384.1952885491414,1353.740518631212,1376.8279228442357,1432.0482066334218,1505.4817004241668,1523.181219259547,1292.5032430536005,1307.367544407826,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984
1,1291.5211246514054,1315.0652901390642,1333.1129990351533,1374.2332574867733,1392.902062166829,1400.8377157371797,1307.367544407826,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288
2,1272.7824019761347,1337.4507145692073,1352.7599556905343,1359.1833118004254,1404.703815339106,1414.2080740768527,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929
3,1255.061962183343,1346.3974181259803,1312.7390196664587,1357.385587151491,1405.6474360687412,1398.9461967587358,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649
4,1262.962851188776,1303.3554647424755,1313.4376552070764,1357.4173963395256,1407.1388903448656,1406.3253061980993,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254
5,1276.2772129138164,1326.4999543931942,1330.8197821197962,1372.801999571379,1421.817391820817,1317.6042699741977,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199
6,1360.4771446907423,1375.837016084466,1375.776897496812,1413.3514814191255,1456.3170616421176,1292.1458757699384,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079
7,1510.5269176294887,1463.1898683575112,1459.2291189222408,1491.250627453745,1466.7507864096897,1387.52560943134,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465
8,1582.2812907120142,1517.8353313428784,1514.4343925077824,1487.1564194202667,1518.310369290345,1460.033759165281,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083
9,1601.4789523080444,1538.2712958530483,1492.7562364296791,1527.2401183165764,1556.8284183961423,1530.6060592675274,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378
10,1617.1289172747956,1512.5480843254222,1522.3408811746788,1565.049888020347,1596.555138874169,1601.684973186047,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391
11,1649.8327290009831,1608.795298875174,1605.5852151682839,1623.3062771456828,1642.787343830215,1647.6710263569369,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497
12,1641.650612553173,1609.3724528712692,1598.2568915474692,1603.661575909502,1616.4197823689344,1552.6898797094132,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644
13,1677.1004360424827,1649.2424313550644,1638.6797588276854,1643.8326139700234,1620.202431460443,1588.152457983167,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254
14,1690.8155624275255,1675.0436492777967,1666.2837566492842,1638.4973809647502,1646.5904472406794,1622.647383646839,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127
15,1714.3183526388168,1702.4759241478553,1667.216178055993,1667.9002700314213,1673.6570331079567,1654.7909959074727,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157
16,1715.6027749869522,1684.5896721572904,1676.071264929381,1677.8892105780435,1683.0198226206803,1665.8409945283072,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162
17,1679.5142012254514,1669.302985227968,1663.3264354389996,1665.3037381201377,1670.2812927494451,1657.8589882047327,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273
18,1684.4003724906017,1672.223442000286,1669.8718952780202,1669.0795431809688,1669.4938403561741,1658.7981758690428,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552
19,1657.0690470730335,1661.4188174338487,1657.7753043750872,1655.6471219267446,1650.4817453191902,1656.246596795617,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899
20,1650.5208651763571,1654.4207960662907,1651.6858280799431,1646.3897149318366,1646.990434169923,1645.705078544877,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918
21,1659.3365211002747,1653.0513677462197,1646.827032937502,1647.007699792768,1647.7771866055111,1649.5096596437834,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783
22,1663.536967155403,1648.4902101651664,1646.9779127047066,1647.1626237599185,1648.109122093361,1647.0362425116157,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546
23,1660.7725231732975,1649.6588284033185,1648.1949057960553,1648.7971027225835,1650.1489543275056,1647.2548626279104,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844
24,1651.3118173580428,1652.8511798489083,1653.0664557229402,1655.7349277294115,1658.593554906406,1658.7511231581364,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838
25,1651.0260790772647,1652.3939519358178,1652.8818224408044,1655.8021236669708,1653.6040232234134,1656.6187409636962,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139
26,1639.0403148074588,1644.6909954084958,1646.4405785234612,1644.7112941813002,1648.5791047908956,1648.6053143174668,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418
