,Step_0 Pred,Step_1 Pred,Step_2 Pred,Step_3 Pred,Step_4 Pred,Step_5 Pred,Step_0 True,Step_1 True,Step_2 True,Step_3 True,Step_4 True,Step_5 True
0,1323.1410907921484,1302.515048884531,1322.3780591447032,1376.3541292659831,1433.450688510741,1451.4256018078077,1292.5032430536005,1307.367544407826,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984
1,1382.101637346489,1443.1216927231715,1456.6904501794108,1498.2574371788776,1516.0809262972086,1547.1708689258387,1307.367544407826,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288
2,1355.0135861102692,1426.3624503751635,1432.5418323460233,1441.9268649584483,1478.1688072255818,1492.9555688231562,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929
3,1358.3264080503948,1427.947932300025,1407.6771578030216,1434.0142322185575,1468.5289900165785,1475.9430973400874,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649
4,1392.963502896773,1419.9371499383753,1416.2351515265532,1442.4000363520938,1478.9960016606267,1492.161739037663,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254
5,1377.6872375596186,1394.3928942583461,1390.8011002950439,1421.066492773209,1462.3172544461531,1360.32470946202,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199
6,1314.163900189631,1327.4146435386026,1325.6794484426748,1361.2690301493383,1408.4761983845985,1270.199402580054,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079
7,1375.312358914589,1352.966598753144,1351.3321975635547,1394.4339584424101,1418.2983156834612,1331.5427606331639,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465
8,1484.9448642345824,1464.9224969419352,1455.7878936338395,1460.910183957357,1521.3977270834987,1429.174413706631,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083
9,1581.9415779165763,1565.7257360497322,1519.225369528057,1554.6698266751312,1610.5660362667784,1512.5861931326028,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378
10,1643.8573458081528,1609.8493573725568,1590.022200500365,1619.2227240236,1669.6187439160353,1591.7395855619166,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391
11,1652.6049502906765,1651.282185816133,1627.5007346739685,1652.7909834881782,1700.0875129876229,1634.9762827274214,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497
12,1662.0260696103092,1672.1039825557366,1644.9929882621325,1666.9632600132356,1711.4153948085716,1637.768258378388,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644
13,1669.4095343419217,1683.7925759026102,1654.5870749025191,1676.3785463521772,1701.0801307550616,1650.7719944383691,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254
14,1663.5623211781394,1687.7774349914032,1655.3645723420777,1660.1406947048595,1706.577520623542,1665.828395290015,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127
15,1674.5473792806151,1693.084747462436,1645.454649240548,1666.1760409391923,1710.6354864036607,1668.603338637364,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157
16,1679.1587004956102,1681.5006033564673,1648.9740364702072,1665.6961810610212,1705.4468556464185,1663.2786827704101,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162
17,1671.2921871897156,1679.4231289535976,1644.614000063376,1656.3019712256425,1690.224409277772,1648.5187528840138,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273
18,1671.5027189061188,1676.6156764605312,1638.8487597215696,1644.530005141427,1672.1833888662086,1621.2365022773251,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552
19,1654.5021467036597,1668.094547174966,1628.1902707647084,1627.3484549913983,1630.6737206236644,1610.455365179803,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899
20,1640.1831901574951,1659.2455266014967,1619.8667628649507,1588.809873793569,1606.6114309045022,1580.56678325427,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918
21,1621.7438160512813,1653.7223160718247,1589.3100324445445,1584.7410975559033,1597.677793224477,1577.9944387695846,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783
22,1597.425264047099,1616.3828401578921,1593.3922634243374,1590.3346927192454,1599.772222157888,1576.2072912589697,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546
23,1603.991722616607,1637.0931103066857,1617.3931901866313,1611.1754660893632,1614.891230335616,1595.5538105222317,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844
24,1612.7315497915426,1642.2192115109215,1621.4771321740934,1613.5877535838904,1615.283362184196,1567.5966451630684,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838
25,1619.4240785170498,1639.036426153665,1619.6868737404436,1612.6433551234963,1590.9465335071823,1570.3470122184399,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139
